VERDADERO,Karate Kid,213,DRAMA,4.4,NULL,0,0,0,0,2010,45
VERDADERO,Kung Fu Panda,135,COMEDY,4.2,NULL,0,0,0,0,2008,130
VERDADERO,The pursuit of happyness,157,DRAMA,4.5,NULL,0,0,0,0,2006,55
VERDADERO,Doctor Strange,155,ACTION,4.1,NULL,0,0,0,0,2016,165
VERDADERO,Wonder Woman ,209,ACTION,3.8,NULL,0,0,0,0,2017,150
VERDADERO,The Grinch,150,FANTASY,3.8,NULL,0,0,0,0,2000,123
VERDADERO,Iron Man,206,ACTION,4.2,NULL,0,0,0,0,2008,140
VERDADERO,Black Panther,215,ACTION,4,NULL,0,0,0,0,2018,200
VERDADERO,How to train your dragon,138,ANIMATION,4.4,NULL,0,0,0,0,2010,165
VERDADERO,Big Hero 6,148,ANIMATION,4.2,NULL,0,0,0,0,2014,165
VERDADERO,Megamind,136,ANIMATION,4.1,NULL,0,0,0,0,2010,130
VERDADERO,Spider-Man NewUniverse,156,ANIMATION,4.4,NULL,0,0,0,0,2018,90
VERDADERO,The Incredibles 2,205,ANIMATION,4.3,NULL,0,0,0,0,2018,200
VERDADERO,Transformers,224,ACTION,4,NULL,0,0,0,0,2007,147
VERDADERO,John Carter,219,SCIFI,4.9,NULL,0,0,0,0,2012,250
VERDADERO,Pacific Rim,212,SCIFI,4.3,NULL,0,0,0,0,2013,180
VERDADERO,Bumblebee,154,ACTION,4.1,NULL,0,0,0,0,2018,127
VERDADERO,Up,136,ANIMATION,3.9,NULL,0,0,0,0,2009,175
VERDADERO,Monsters Inc,132,ANIMATION,4.1,NULL,0,0,0,0,2001,115
VERDADERO,Ratatouille,151,ANIMATION,4.4,NULL,0,0,0,0,2007,150
VERDADERO,Toy Story,121,ANIMATION,4.2,NULL,0,0,0,0,1995,30
VERDADERO,Bolt,137,ANIMATION,4.1,NULL,0,0,0,0,2008,150
VERDADERO,Finding Nemo,140,ANIMATION,4,NULL,0,0,0,0,2003,94
VERDADERO,Wall-e,143,ANIMATION,4.5,NULL,0,0,0,0,2008,180
VERDADERO,Cars,157,ANIMATION,4.8,NULL,0,0,0,0,2006,120
VERDADERO,Fast & Furious,147,ACTION,4,NULL,0,0,0,0,2009,85
VERDADERO,Hancock,142,ACTION,3.9,NULL,0,0,0,0,2008,150
VERDADERO,I Robot,155,SCIFI,4.1,NULL,0,0,0,0,2004,120
VERDADERO,Fantastic Beasts 2,213,FANTASY,3.6,NULL,0,0,0,0,2018,200
VERDADERO,Tarzan,150,DRAMA,3.8,NULL,0,0,0,0,2016,180
VERDADERO,Safe House,155,ACTION,3.7,NULL,0,0,0,0,2012,85
VERDADERO,Deadpool,149,ACTION,4.1,NULL,0,0,0,0,2016,58
VERDADERO,Shrek,135,ANIMATION,5,NULL,0,0,0,0,2001,60
VERDADERO,Love Rosie,102,LOVE,3.6,NULL,0,0,0,0,2014,26
